id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews
3820211,Restored Precinct in Center Sq. w/Parking,Neighborhood highlights,Entire home/apt,102.0,2,308
5651579,Large studio apt  by Capital Center & ESP@,Neighborhood highlights,Entire home/apt,75.0,2,371
6623339,Center Sq. Loft in Converted Precinct w/ Parking,Neighborhood highlights,Entire home/apt,96.0,2,331
9005989,"Studio in The heart of Center SQ, in Albany NY",Neighborhood highlights,Entire home/apt,88.0,1,617
9501054,Spacious suite with full bath by Capital  Center,Neighborhood highlights,Private room,52.0,1,415
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,Neighborhood highlights,Entire home/apt,213.0,1,185
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,Neighborhood highlights,Private room,55.0,15,231
12284708,"Well Lit Modern Room, Perfect Location Albany",Neighborhood highlights,Private room,41.0,18,61
12799126,Private Room in the Hearth of the Albany,Neighborhood highlights,Private room,47.0,5,28
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms,Neighborhood highlights,Entire home/apt,219.0,2,188
14316232,"Unique Modern Room, Perfect Location Albany",Neighborhood highlights,Private room,45.0,18,53
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,Neighborhood highlights,Entire home/apt,192.0,1,113
15580397,Women only Alb Medical/Dtwn Albany/Colleges ROOM H,Neighborhood highlights,Private room,53.0,2,48
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,Neighborhood highlights,Entire home/apt,376.0,1,58
19527043,Charming 1 Bedroom in a Historic Residential Home,Neighborhood highlights,Private room,70.0,1,82
19571496,Modern Studio Perfect Location Albany,Neighborhood highlights,Private room,45.0,18,30
20519885,5Bedroom In Albany 8Year SuperHost,Neighborhood highlights,Entire home/apt,290.0,3,110
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,Neighborhood highlights,Entire home/apt,148.0,1,74
20633175,"Garden Apartment, on the Park, close to Capital.",Neighborhood highlights,Entire home/apt,116.0,2,131
21392315,The Blair Suite,Neighborhood highlights,Entire home/apt,60.0,2,127
21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,Neighborhood highlights,Entire home/apt,582.0,4,8
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",Neighborhood highlights,Entire home/apt,70.0,3,180
24120690,One Bedroom apartment with private entrance,Neighborhood highlights,Private room,68.0,2,122
25549565,Quiet and Pretty in the Heart of Center Square,Neighborhood highlights,Entire home/apt,73.0,1,916
25976514,City Feel - Green Room,Neighborhood highlights,Private room,93.0,3,14
26139592,Garden Apartment in Ctr. Square: Monthly Discounts,Neighborhood highlights,Entire home/apt,81.0,2,137
27670660,The Rock & Roll Suite,Neighborhood highlights,Private room,54.0,2,26
28341274,Private room in historic building on the park,Neighborhood highlights,Private room,75.0,1,92
28400263,Private Room in Historic Residential Home,Neighborhood highlights,Private room,50.0,1,269
28722270,✍Historic Loft Suite @ Downtown Albany,Neighborhood highlights,Entire home/apt,69.0,1,687
28868857,⭐Cozy Garden Suite Full Amenities @Downtown Albany,Neighborhood highlights,Entire home/apt,56.0,1,617
28929840,Spacious private suite and private bath,Neighborhood highlights,Private room,70.0,1,7
29605579,Funky Urban 1 Bedroom Apt w/ Parking in Center Sq,Neighborhood highlights,Entire home/apt,90.0,2,104
30189794,Seashore Suite At The Inn on South Lake,Neighborhood highlights,Private room,59.0,2,68
31210362,Nest in Hazel,Neighborhood highlights,Private room,47.0,2,31
32279028,"Cosy, comfy and quiet for one",Neighborhood highlights,Private room,54.0,1,212
32450400,Moroccan Sands,Neighborhood highlights,Private room,104.0,3,1
33558235,"Historic, Spacious & Fun 2BR Apt @ Downtown Albany",Neighborhood highlights,Entire home/apt,86.0,1,451
34330970,Muhammed Ali Lounge & Pool Hall ⬢⬡,Neighborhood highlights,Entire home/apt,124.0,1,314
35914565,The Poker Room ♤ Downtown Albany,Neighborhood highlights,Entire home/apt,114.0,1,306
36443605,Sophisticated Retreat: 2BR in heart of Albany,Neighborhood highlights,Entire home/apt,92.0,2,54
38321579,Comfy and quiet,Neighborhood highlights,Private room,53.0,1,408
39093517,Center Square Safe 2 Bedroom Long  Stay w/ Parking,Neighborhood highlights,Entire home/apt,121.0,2,41
39698576,Spacious Designer 1-Bed Near Albany Med,Neighborhood highlights,Entire home/apt,78.0,5,24
40491172,"Renovated, private parking,location, washer dryer!",Neighborhood highlights,Entire home/apt,92.0,3,128
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,Neighborhood highlights,Entire home/apt,117.0,1,173
41319631,Modern Carriage in the Heart of Albany,Neighborhood highlights,Entire home/apt,97.0,30,4
42009788,Center Square Sanctuary: Private 2-Bedroom Gem,Neighborhood highlights,Entire home/apt,88.0,7,24
42092736,Private Bedroom in Cozy Ranch Home,Neighborhood highlights,Private room,52.0,1,187
42763847,Charming dog friendly home with private yard!,Neighborhood highlights,Entire home/apt,102.0,1,111
43208391,Classic & Homey 2BD/1BA Fl 2 Apt @ Downtown Albany,Neighborhood highlights,Entire home/apt,91.0,2,107
43955950,* Quaint home located in residential neighborhood*,Neighborhood highlights,Entire home/apt,248.0,2,91
44180048,Historic Queen Studio Across from Washington Park!,Neighborhood highlights,Entire home/apt,99.0,1,367
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,Neighborhood highlights,Entire home/apt,108.0,1,301
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,Neighborhood highlights,Entire home/apt,142.0,1,129
45074220,Secluded Studio Suite Fl 3 @ Downtown Albany,Neighborhood highlights,Entire home/apt,70.0,1,35
45313545,Adorable & Trendy 1 Bd Apt Minutes to Albany Med!,Neighborhood highlights,Entire home/apt,85.0,2,151
45528939,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,Neighborhood highlights,Entire home/apt,108.0,1,99
